2026-04-10 20:48:27 | INFO     | luarocks_mcp | ======================================================================
2026-04-10 20:48:27 | INFO     | luarocks_mcp | LuaRocks MCP Builder — Threaded Pipeline
2026-04-10 20:48:27 | INFO     | luarocks_mcp | Labels: json
2026-04-10 20:48:27 | INFO     | luarocks_mcp | LLM endpoint: http://localhost:11434/v1
2026-04-10 20:48:27 | INFO     | luarocks_mcp | LLM model: qwen2.5:7b-q6_K_M
2026-04-10 20:48:27 | INFO     | luarocks_mcp | ======================================================================
2026-04-10 20:48:27 | INFO     | luarocks_mcp | Starting thread: Discovery
2026-04-10 20:48:27 | INFO     | luarocks_mcp | [Discovery] Starting — 1 labels to scrape
2026-04-10 20:48:27 | INFO     | luarocks_mcp | Starting thread: Download
2026-04-10 20:48:27 | INFO     | luarocks_mcp | Scraping label: json
2026-04-10 20:48:27 | INFO     | luarocks_mcp | [Download] Waiting for modules...
2026-04-10 20:48:27 | INFO     | luarocks_mcp | Starting thread: Extraction
2026-04-10 20:48:27 | INFO     | luarocks_mcp | [Extraction] Waiting for downloads...
2026-04-10 20:48:27 | INFO     | luarocks_mcp | Starting thread: Assembly
2026-04-10 20:48:27 | INFO     | luarocks_mcp | [Assembly] Waiting for results...
2026-04-10 20:48:30 | INFO     | luarocks_mcp | Label 'json': discovered 45 modules
2026-04-10 20:48:32 | INFO     | luarocks_mcp | [Discovery] Queued: luarocks__lua-yajl__scm-1
2026-04-10 20:48:32 | INFO     | luarocks_mcp | [Download] Downloading: luarocks__lua-yajl__scm-1
2026-04-10 20:48:35 | INFO     | luarocks_mcp | [Discovery] Queued: luarocks__lua_json__scm-1
2026-04-10 20:48:37 | INFO     | luarocks_mcp | [Discovery] Queued: luarocks__lua2json__0.1.1-1
2026-04-10 20:48:39 | INFO     | luarocks_mcp | [Discovery] Queued: mbalmer__luajson__1.2.6-0
2026-04-10 20:48:41 | INFO     | luarocks_mcp | Downloaded 2 files for luarocks__lua-yajl__scm-1
2026-04-10 20:48:41 | INFO     | luarocks_mcp | [Download] Downloading: luarocks__lua_json__scm-1
2026-04-10 20:48:41 | INFO     | luarocks_mcp | [Extraction] Processing: luarocks__lua-yajl__scm-1
2026-04-10 20:48:41 | INFO     | luarocks_mcp | Created 11 chunks from luarocks__lua-yajl__scm-1
2026-04-10 20:48:41 | ERROR    | luarocks_mcp | [Extraction] Error for luarocks__lua-yajl__scm-1: '\n  "name"'
2026-04-10 20:48:41 | INFO     | luarocks_mcp | [Discovery] Queued: spc476__org.conman.parsers.json__1.1.1-3
